bag_id, instance_label
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,1
1,-1
1,3
1,3
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,3
1,-1
2,-1
2,-1
2,-1
2,-1
2,1
2,-1
2,-1
2,-1
2,-1
2,-1
2,-1
2,-1
2,3
2,-1
2,-1
2,-1
2,3
2,3
2,-1
2,-1
2,-1
2,-1
2,3
2,-1
2,-1
2,-1
3,-1
3,-1
3,-1
3,-1
3,-1
3,-1
3,-1
3,-1
3,-1
3,-1
3,-1
3,3
3,-1
3,-1
3,-1
3,-1
3,-1
3,-1
3,3
3,-1
3,-1
3,1
3,-1
3,-1
3,-1
3,-1
3,-1
3,3
3,-1
3,1
3,-1
3,-1
4,-1
4,-1
4,-1
4,-1
4,-1
4,-1
4,3
4,3
4,-1
4,-1
4,-1
4,3
4,3
4,-1
4,-1
4,-1
4,-1
5,-1
5,-1
5,3
5,-1
5,-1
5,-1
5,-1
5,-1
5,-1
5,-1
5,-1
5,-1
5,-1
5,1
5,-1
5,-1
5,1
5,1
5,-1
5,1
5,-1
6,4
6,4
6,4
6,4
6,4
6,4
6,4
6,-1
6,-1
6,5
6,-1
6,5
6,-1
6,-1
6,-1
6,5
6,5
6,-1
6,5
6,-1
6,-1
6,-1
6,-1
6,5
6,-1
6,-1
6,-1
7,4
7,4
7,4
7,4
7,4
7,4
7,-1
7,-1
7,-1
7,5
7,-1
7,-1
7,5
7,-1
7,8
7,5
7,8
7,-1
7,8
7,1
7,-1
7,-1
7,-1
7,1
7,1
8,4
8,4
8,4
8,4
8,-1
8,-1
8,-1
8,5
8,5
8,5
8,-1
8,5
8,5
8,5
8,5
8,-1
8,5
8,5
8,-1
8,5
8,-1
8,-1
8,1
8,-1
8,5
8,-1
8,1
8,-1
8,-1
8,1
8,-1
9,4
9,4
9,4
9,4
9,4
9,4
9,4
9,4
9,4
9,5
9,5
9,-1
9,-1
9,3
9,-1
9,-1
9,-1
9,-1
9,-1
9,5
9,-1
9,5
9,5
9,3
9,-1
9,-1
9,-1
9,-1
9,-1
9,-1
9,-1
9,-1
9,-1
10,4
10,4
10,4
10,4
10,4
10,-1
10,-1
10,-1
10,-1
10,-1
10,3
10,-1
10,-1
10,-1
10,-1
10,-1
10,1
10,3
10,-1
10,1
10,-1
10,-1
10,-1
10,-1
10,-1
10,-1
10,1
10,-1
10,-1
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,4
11,-1
11,6
11,-1
11,6
11,-1
11,-1
11,-1
11,-1
11,5
11,5
11,-1
11,-1
11,-1
11,5
11,-1
11,-1
11,-1
11,-1
11,1
11,1
11,-1
11,1
11,-1
11,-1
11,-1
11,-1
11,-1
11,-1
12,4
12,4
12,4
12,4
12,-1
12,-1
12,6
12,-1
12,6
12,-1
12,6
12,-1
12,-1
12,-1
12,-1
12,-1
12,-1
12,-1
12,-1
12,-1
12,-1
12,1
12,-1
12,-1
12,1
12,-1
12,-1
12,-1
12,-1
13,4
13,4
13,4
13,-1
13,-1
13,-1
13,-1
